"source_id","title","canonical_record","record_type","record_date","retrieved_or_frozen","verification_state","evidence_class","rights_or_distribution","relation","alias_of","notes"
"S001","Dark matter decay signals in cosmic filaments","https://arxiv.org/abs/2504.08025","arXiv record named in supplied report","2025","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed; arXiv and authors retain their terms","independent external source","","Conditional hidden-sector decay/conversion model; not a detection."
"S002","Observing Dark Matter Decays to Gravitons via Graviton-Photon Conversion","https://arxiv.org/abs/2503.19019","arXiv record named in supplied report","2025","2026-08-09","primary arXiv HTML inspected; no independent replay","source_asserted","No article text or figures redistributed; arXiv and authors retain their terms","independent external source","","Filament conversion assumptions and representative field/coherence cases require sensitivity analysis."
"S003","Probing the Cosmic Axion Background via Axion-Photon Conversion in Filaments","https://arxiv.org/abs/2607.18372","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed; arXiv and authors retain their terms","related method","","Analogous carrier-conversion search; not evidence for the graviton channel."
"S004","Implications for Martian mantle reservoirs from the NWA 13441 shergottite","https://www.sciencedirect.com/science/article/abs/pii/S0016703726004102","Geochimica et Cosmochimica Acta record named in supplied report","2026","2026-08-09","publisher abstract/article preview inspected; full text unavailable","externally_published","Publisher and authors retain their terms; no article text or figures redistributed","independent external source","","Final paper is the source for the core NWA 13441 claim; reported shock estimates are about 28-34 GPa and 200-250 C; reservoir-versus-mixing ambiguity remains."
"S005","NWA 13441 conference report and age-gap context","https://www.hou.usra.edu/meetings/lpsc2026/pdf/1032.pdf","LPSC 2026 abstract/PDF; Phys.org secondary context","2026","2026-08-09","LPSC 2026 abstract/PDF inspected; preliminary context only","source_asserted","Conference and news materials retain their own terms","context","","Preliminary conference material quoted alternative shock estimates of about 42-45 GPa and 900 C; Phys.org is a secondary lead. These values are not silently merged with the final paper values, and headline language such as pristine or new reservoir is not admitted."
"S006","Solar-Planetary Phase-Partition Theory and ASTRA v1.0.6 reference package","https://github.com/jkolantree/astra/releases/tag/v1.0.6","Immutable project release reference","2026-08-02","2026-08-09","immutable tag and commit hand-checked","hand_checked","Root LICENSE_MAP.md and release metadata govern project assets","baseline framework","","This draft is namespaced and does not modify the v1.0.6 claim matrix or assets."
"S007","Probing Cosmic Magnetism with Rotation Measure-Squared-Galaxy Cross-Correlations","https://arxiv.org/abs/2512.06584","arXiv record named in supplied report","2025","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","calibration method","","Magnetic proxy; signed RM cancellation and nuisance control must be tested."
"S008","Backlighting the Cosmic Web with Fast Radio Bursts","https://arxiv.org/abs/2604.22105","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","calibration method","","FRB dispersion cross-correlations constrain baryonic columns, not dark-matter composition."
"S009","Baryons in the Darkest Sites of the Universe","https://arxiv.org/abs/2605.01994","arXiv record named in supplied report","2026","2026-08-09","primary arXiv record inspected; no independent replay","source_asserted","No article text or figures redistributed","control design","","Void sightlines are a comparison class, not guaranteed zero-field controls."
"S010","Constraints on Annihilating Dark Matter from Gamma-Ray Cross-Correlations","https://arxiv.org/abs/2607.10974","arXiv record named in supplied report","2026","2026-08-09","primary record inspected; no independent replay","source_asserted","No article text or figures redistributed","related method","","Cross-correlation precedent; model and background dependence remain."
