gate_id,gate,status,evidence_or_limitation
G01,Stable repository authority identified,PASS,"v1.0.7 tag and f8b32ef candidate basis bound"
G02,Immutable stable release separated from successor,PASS,"no v1.0.7 tag release or frozen asset changed"
G03,M1 repair boundary retained,PASS,"unpromoted maintenance source is not described as v1.0.7 output"
G04,Weak-cut correction integrated,PASS,"aggregate-capacity hypothesis retained"
G05,Dynamic-arrest correction integrated,PASS,"boundedness or stationarity plus turnover; slope alone rejected"
G06,Coverage overclaim corrected,PASS,"structural support remains distinct from entailment"
G07,Primary records checked,PASS,"load-bearing external records scoped and qualified"
G08,Discovery sources separated from technical authority,PASS,"no news item is sole technical support"
G09,Source ledger contract complete,PASS,"51 unique records; CSV and JSON agree"
G10,Claim ledger preserves public identities,PASS,"55 canonical rows plus 20 noncolliding V108 rows"
G11,Mixed EP250827b claim split,PASS,"observation and engine inference remain separate"
G12,Alternative generators retained,PASS,"case sections record alternatives and limits"
G13,Falsifier or next-test fields populated,PASS,"75 claim rows populated"
G14,Selectable text-only cover,PASS,"no cover image asset"
G15,Figure pair inventory complete,PASS,"18 SVG and 18 PNG files"
G16,No third-party figures redistributed,PASS,"original diagrams and numerical redraws only"
G17,Figure source contract,PASS,"fixed metadata; live SVG text; no external DTD or resource"
G18,Canonical PDF visual inspection,PASS,"81 Poppler-rendered pages reviewed; zero out-of-page words"
G19,Peer-review PDF visual inspection,PASS,"128 Poppler-rendered pages reviewed; zero out-of-page words"
G20,DOCX page-layout inspection,ENVIRONMENT_LIMITED,"Word and LibreOffice are unavailable; structure and accessibility were checked"
G21,Two independent PDF renderers,PASS,"all four PDFs rendered with Poppler and PDFium without error"
G22,Ghostscript interpretation,ENVIRONMENT_LIMITED,"Ghostscript is unavailable and no pass is inferred"
G23,Fonts embedded and text mapped,PASS,"final inventory: every font embedded; Chromium Type 3 subsets have ToUnicode maps"
G24,PDF outlines and links valid,PASS,"pypdf strict parsing and annotation traversal"
G25,Tagged reading structure,PASS,"StructTreeRoot and en-US present; PDF/UA not claimed"
G26,DOCX accessibility high or medium findings,PASS,"high=0; medium=0; low=49 raw-URL findings"
G27,Formatting guide applied,PASS,"clipped source package pages and figure-label defects repaired"
G28,Stale packaged intermediates absent,PASS,"temporary build files remain outside the public package"
G29,Internal SHA-256 inventory,PASS,"derived mechanically from final bytes"
G30,Supplied ZIP intake integrity,PASS,"SHA-256 55b8962176680859064fa2ebc009bb45ddc0cce987bce0bc16206faa4c7c387a; safe extraction and inner hashes verified"
G31,Repository canonical CI,NOT_RUN,"external PR workflow runs only after push"
G32,Fresh clean-clone release replay,NOT_RUN,"this is an unpromoted resource candidate, not a release candidate"
G33,External scientific peer review,NOT_RUN,"not submitted or endorsed"
G34,Independent raw-data or experiment reproduction,NOT_RUN,"outside this synthesis"
G35,Independent sentence-level source-entailment audit,DEFERRED,"requires a later adversarial review"
G36,Exact document-build runtime replay,PASS,"complete producer ran under CPython 3.12.10"
G37,Same-environment second-build identity,PASS,"all five document derivative hashes matched a second clean temporary build"
G38,Repository resource contract,PASS,"exact roster privacy license and candidate invariants pass locally"
G39,Tracked manifest and Git archive,NOT_RUN,"run only after the candidate is committed"
G40,Tag release Pages DOI or Zenodo publication,NOT_RUN,"not authorized for this candidate and not performed"
