source_id,title,authors_or_group,record_date,venue_or_record,canonical_url,identifier,record_status,rights_status,role,source_bytes_archived,alias_of,notes
S001,"Observation of the collapse and revival of a Rydberg electronic wave packet",Yeazell Mallalieu Stroud,1990,Physical Review Letters,https://doi.org/10.1103/PhysRevLett.64.2007,10.1103/PhysRevLett.64.2007,version_of_record,citation_only_no_reuse,atomic_pulsing_benchmark,false,,Prepared radial wave-packet dynamics; no article bytes redistributed.
S002,"Two-photon spectroscopy of the 1S-2S transition in hydrogen",Parthey et al.,2011,Physical Review Letters,https://doi.org/10.1103/PhysRevLett.107.203001,10.1103/PhysRevLett.107.203001,version_of_record,citation_only_no_reuse,hydrogen_precision_gate,false,,Transition frequency benchmark.
S003,"Observation of the 1S–2S transition in trapped antihydrogen",ALPHA Collaboration,2017,Nature,https://www.nature.com/articles/nature21040,10.1038/nature21040,version_of_record,citation_only_no_reuse,antimatter_cpt_gate,false,,Hydrogen/antihydrogen comparison.
S004,"Measurement of the electron magnetic moment",Fan et al.,2023,Physical Review Letters,https://doi.org/10.1103/PhysRevLett.130.071801,10.1103/PhysRevLett.130.071801,version_of_record,citation_only_no_reuse,electron_structure_gate,false,,Precision magnetic-moment constraint.
S005,"Dynamics of collapsing and exploding Bose-Einstein condensates",Donley et al.,2001,Nature,https://doi.org/10.1038/35085500,10.1038/35085500,version_of_record,citation_only_no_reuse,bosenova_benchmark,false,,Controlled interaction quench and collapse.
S006,"An Ultramassive White Dwarf with a Likely Oxygen-Neon Core",Arseneau et al.,2026,arXiv,https://arxiv.org/abs/2606.19441,arXiv:2606.19441,accepted_preprint,citation_only_no_reuse,compact_matter_benchmark,false,,Accepted preprint; model-dependent ONe preference and modest Bayes factor.
S007,"A limit on the variation of the speed of light arising from quantum gravity effects",Abdo et al.,2009,Nature,https://www.nature.com/articles/nature08574,10.1038/nature08574,version_of_record,citation_only_no_reuse,lorentz_dispersion_gate,false,,GRB090510 constraint; no third-party material redistributed.
S008,"Thermodynamics of Spacetime: The Einstein Equation of State",Jacobson,1995,Physical Review Letters,https://doi.org/10.1103/PhysRevLett.75.1260,10.1103/PhysRevLett.75.1260,version_of_record,citation_only_no_reuse,emergent_gravity_prior_art,false,,Prior art for thermodynamic gravity.
S009,"Quantum cellular automata and free quantum field theory",D'Ariano Perinotti,2016,arXiv,https://arxiv.org/abs/1608.02004,arXiv:1608.02004,preprint_record,citation_only_no_reuse,digital_qft_prior_art,false,,Prior art for discrete information-processing field limits.
S010,"Experimental Tests of Gravitational Theory",Particle Data Group,2024,PDG review,https://pdg.lbl.gov/2024/reviews/rpp2024-rev-gravity-tests.pdf,PDG 2024 gravity review,review_record,citation_only_no_reuse,gravity_constraints,false,,Benchmark review; no source bytes archived.
S011,"The heating of gas in a galaxy cluster by X-ray cavities and large-scale shock fronts",McNamara et al.,2005,Nature,https://doi.org/10.1038/nature03202,10.1038/nature03202,version_of_record,citation_only_no_reuse,black_hole_feedback,false,,AGN cavity observation; not a black-hole explosion claim.
S012,"The Dark Energy Survey Supernova Program: Slow supernovae show cosmological time dilation out to z approximately 1",White et al.,2024,Monthly Notices of the Royal Astronomical Society,https://academic.oup.com/mnras/article/533/3/3365/7738388,10.1093/mnras/stae1877,version_of_record,citation_only_no_reuse,redshift_discriminator,false,,Supernova time-dilation benchmark.
S013,"Spectroscopic confirmation of four metal-poor galaxies at z = 10.3–13.2",Curtis-Lake et al.,2023,Nature Astronomy,https://doi.org/10.1038/s41550-023-01918-w,10.1038/s41550-023-01918-w,version_of_record,citation_only_no_reuse,jwst_formation_context,false,,Spectroscopic confirmation and formation-context benchmark; no third-party material redistributed.
S014,"Statistics meet systematics: Resolution of the massive early JWST galaxy tension",Jay R. Krishnan and Kevork N. Abazajian,2026,Physical Review D,https://journals.aps.org/prd/abstract/10.1103/gjf5-3r89,10.1103/gjf5-3r89,version_of_record,citation_only_no_reuse,jwst_systematics_context,false,,Used as context; exact entailment should be checked before promotion.
