"claim_id","claim_statement","claim_type","support_ids","source_or_file_locator","evidence_class","disposition","hypotheses_units_domain","limitations","falsifier_or_next_test"
"AS-CORE-001","SPPT's existing node-edge incidence convention gives whole-network inventory conservation when internal transport cancels and declared reaction weights annihilate the stoichiometric matrix under zero net external source minus escape.","existing SPPT claim","S006","CLAIM_MATRIX.json:SPPT-C001; manuscript/manuscript.md:section 2.3","hand_checked","admit","Finite reservoir and edge sets; dimensionally compatible species inventories and edge fluxes; each internal edge has one -1 tail and one +1 head; declared reaction weights satisfy w^T N=0; external source minus escape is zero for the closed inventory.","Does not cover undeclared sources or sinks, dimension mismatch, or reactions outside the declared nullspace.","Symbolically evaluate the incidence and stoichiometric terms on a nontrivial graph with nonzero boundary fluxes and confirm only the declared weighted invariant survives."
"AS-CORE-002","The existing SPPT constitutive closure has nonnegative local entropy production on its declared force-flux domain when the phenomenological matrix is positive semidefinite.","existing SPPT claim","S006","CLAIM_MATRIX.json:SPPT-C002; manuscript/manuscript.md:section 3.2","hand_checked","admit_with_qualification","Positive semidefinite matrix and declared force-flux units are required; this is not a global thermodynamic proof for every topology. The closure is local and near-equilibrium unless a constitutive law establishes a wider domain.","The result is local and near-equilibrium unless a wider domain is established by the constitutive law; it is not a global nonlinear proof.","Construct a matrix with a negative eigenvalue or an invalid force domain and confirm the gate rejects it."
"AS-CORE-003","The existing periodic-trap solution distinguishes the raw inventory-loop magnitude from the release-normalized loop; only the normalized quantity peaks at omega*tau equal to one.","existing SPPT claim","S006","CLAIM_MATRIX.json:SPPT-C003 and SPPT-C004; manuscript/manuscript.md:section 4.2","independently_reproduced","admit","Steady periodic regime after transients; omega>0 and tau>0; c(t)=c0+c1 cos(omega t); nonzero forcing amplitude for a nonzero loop; the stated signed orientation convention is used.","The analytic trap assumes positive tau, sinusoidal forcing, and the stated sign and loop convention.","Sweep tau over a log grid and compare both loop normalizations against analytic formulas."
"AS-CORE-004","The existing weak-cut relaxation bound requires positive capacities and weighted conductance connectivity.","existing SPPT claim","S006","CLAIM_MATRIX.json:SPPT-C005; manuscript/manuscript.md:section 5.2","hand_checked","admit_with_qualification","Finite undirected conductance graph; every node capacity strictly positive; positive-weight graph connected; cut is a nonempty proper node set; cut conductance is the sum of crossing positive weights.","The bound is not asserted for disconnected graphs, zero capacities, zero-weight cuts, or invalid conductance signs.","Generate disconnected and zero-capacity controls and verify the theorem gate rejects them."
"AS-CORE-005","The existing state-dependent transport derivative is K(1-dTu/dTd) + (Td-Tu)K'(psi)dpsi/dTd; omitting either state-dependence term is valid only under an explicit closure.","existing SPPT claim","S006","CLAIM_MATRIX.json:SPPT-C006; manuscript/manuscript.md:section 5.4","mechanically_replayed","admit_with_qualification","K and psi are differentiable in the declared local domain; Tu may depend on Td and the complete derivative retains dTu/dTd; K is positive in the toy model and temperatures share units.","The derivative requires differentiability and declared transport state; fixed-upper-state and fixed-transport closures are only explicit toy cases.","Automatic differentiation and symbolic differentiation should agree for both fixed and moving upper states, including a nonzero K' term."
"AS-CORE-006","The existing static two-reservoir result is an identifiability statement only for K>0 and an injective radiation law on the physical domain.","existing SPPT claim","S006","CLAIM_MATRIX.json:SPPT-C008 and SPPT-C026; manuscript/manuscript.md:section 9","hand_checked","admit_with_qualification","Declared static two-reservoir closure; fixed conductance K>0; equilibrium exists; Fstar+H lies in the radiation-law range; radiation law is injective on the declared physical temperature domain; forcing is in the declared physical range.","Boundary-only observations can leave transfer-equivalent hidden states; no global topology uniqueness is claimed.","Add a second port or intervention and recompute the equivalence class rather than assuming uniqueness."
"AS-CORE-007","The existing synthetic topology result is a transparent pointwise regression result with preserved negative outcomes, not blinded or external validation.","existing ASTRA claim","S006","CLAIM_MATRIX.json:ASTRA-C011 through ASTRA-C014; scripts/benchmark_ensemble.py; scripts/synthetic_topology_benchmark.py; scripts/generate_astra_figures.py; data/synthetic_topology_ensemble.csv; data/synthetic_topology_ensemble.json; data/inverse_demo_summary.json; data/inverse_objective_landscapes.csv; figures/supplement_figure_S2_single_frequency_degeneracy.png; figures/supplement_figure_S3_multifrequency_localization.png; tests/test_data_integrity.py; tests/test_optimizer.py","mechanically_replayed","admit_with_qualification","Frozen synthetic protocol, benchmark-informed starts, fixed candidate family, and no misspecification claim are part of the result.","The result is synthetic, benchmark-informed, fixed-family regression evidence without empirical, blinded, misspecified, or external validation.","Pre-register a blinded varied-regime successor with held-out truth omission, correlated noise, nonlinear controls, calibration, and failures."
"AS-VAR-001","A mode-resolved interface can augment an ASTRA bookkeeping record with mode, control protocol, and a candidate active-support descriptor without changing the SPPT physical state.","proposed ASTRA variation","S005,S006","METHODS_NOTE.md:section 6; resources/README.md","source_asserted","proposed_only","The tuple is bookkeeping until a typed schema, units, and a constitutive map are supplied.","The bookkeeping tuple does not define a physical flux, a closed model, or a unique active support.","Implement a schema validator and show that an observation-only record cannot enter a physical transport graph without an explicit bridge."
"AS-VAR-002","An active-support kernel a(mu,u,r,t,nu) can be dimensionless on [0,1], with units carried by a declared local response density and integration measure.","proposed ASTRA variation","S005,S006","METHODS_NOTE.md:section 7","hand_checked","proposed_only","A thresholded active set depends on normalization and threshold choice; it is not an ontology.","Kernel scale and threshold are convention-dependent and not uniquely identified by an aggregate response.","Scale the kernel and response inversely while keeping the aggregate response fixed; the verifier should report the gauge-like bookkeeping equivalence."
"AS-VAR-003","Phase matching is a broader audit category than resonance: a controlled trajectory can maintain overlap with a moving response region even when no single fixed-frequency resonance is asserted.","methodological inference","S001,S005","METHODS_NOTE.md:sections 6 and 8","source_asserted","proposed_only","This is a structural comparison, not a claim that plasma wakes, birds, and electrodes share a resonance law.","The cross-case comparison does not imply a shared resonance or constitutive mechanism.","Perturb velocity or phase while preserving average energy and test whether the predicted output changes as the proposed overlap metric predicts."
"AS-VAR-004","Effective support measures may differ by mode: perimeter, exposed area, volume, spacetime trajectory, or spectral coordinate can be the relevant candidate support.","methodological inference","S002,S004,S005","METHODS_NOTE.md:sections 7, 9, and 10","source_asserted","proposed_only","Bird support is unknown and the SNU primary is unresolved; no quantitative geometry law is admitted.","Bird support is unknown and the SNU primary is unresolved; no quantitative geometry law is admitted.","Hold inventory and mean power fixed while independently varying candidate measures and compare preregistered response surfaces."
"AS-VAR-005","Forward and reverse operating modes may use different active supports, so a single symmetric edge should not be assumed from a reversible label.","proposed ASTRA variation","S004,S005","METHODS_NOTE.md:section 10","source_asserted","proposed_only","Requires a resolved electrode primary record and an operational definition of reverse mode.","Reverse-mode support difference is a hypothesis and requires a resolved electrochemical primary record.","Use mass-held-constant matched electrodes and measure morphology, poisoning, migration, and current response in both directions."
"AS-VAR-006","A moving-front coordinate Xi = v_f*tau_int/l_int is dimensionless and can be used as a preregistered design coordinate for an interface-overlap experiment.","proposed experimental coordinate","S005","METHODS_NOTE.md:section 13","hand_checked","proposed_only","A peak near Xi=1 is a hypothesis only; positive speed, time, and length scales plus fixed energy/inventory controls are required.","The Xi peak is untested and requires positive, measured, operationally controlled scales plus fixed energy and inventory.","Vary v_f, tau_int, and l_int independently or measure their effective values and test for a response maximum without tuning the criterion after observing data."
"AS-PRED-001","If active support is causal, matched total input with changed support geometry or waveform should produce a reproducible response difference after nuisance covariates are controlled.","cross-case prediction","S001,S002,S004,S005","METHODS_NOTE.md:section 12","source_asserted","proposed_only","The statement is conditional and domain-specific; it does not predict the sign or magnitude of an effect.","The prediction is conditional on support being causal and nuisance controls being adequate; effect sign and size are unspecified.","A preregistered support-scramble control should erase or sharply reduce the effect while preserving total input."
"AS-PRED-002","If phase matching is causal in the flying-focus case, mismatch should shorten effective acceleration overlap and create measurable stalling, dephasing, or beam-quality degradation.","case-specific prediction","S001,S005","METHODS_NOTE.md:sections 8 and 12","source_asserted","proposed_only","The article already reports simulated stalling and density sensitivity; the proposed test is an independent validation, not a new result.","The article reports an experiment and simulation, but an independent phase trace and held-out scaling test are not reproduced here.","Measure wake velocity and bunch position independently across density and focal-velocity sweeps; failure of the predicted relation weakens the audit, not SPPT itself."
"AS-PRED-003","A factorial waveform experiment would test whether a bird RF response depends on sideband, duty, rise time, RMS power, or other waveform coordinates rather than peak field alone, under a stated detector hypothesis.","case-specific prediction","S002,S003,S005","METHODS_NOTE.md:sections 9 and 12","source_asserted","proposed_only","Behavioral disorientation in a funnel is not free-flight navigation and does not identify a receptor.","Funnel behavior does not identify a receptor or general navigation mechanism; waveform and biological controls remain open.","Blind factorial RF conditions and pair behavior with field logging, retinal/vestibular perturbations, and neural or receptor-localization measures."
"AS-PRED-004","If electrode activity follows a geometry-dependent support, independent changes in interface perimeter and exposed area should produce different ORR and OER response slopes at fixed metal mass and controlled aging.","case-specific prediction","S004,S005","METHODS_NOTE.md:sections 10 and 12","source_asserted","deferred","The exact SNU primary record and rights are unresolved; no numerical slope or commercial scaling claim is admitted.","The primary record, exact geometry, and rights are unresolved; no numerical slope or commercial scaling claim is admitted.","Resolve the primary paper, then run mass-held-constant geometry and long-duration aging controls."
