gate_id,gate,result,evidence
G01,Rejected commutator observation equation removed,PASS,"methods note; test_trace_of_commutator_is_zero"
G02,CPTP/POVM equation defined,PASS,"src/astra_sector_complete.py"
G03,Postselection represented by a quantum instrument,PASS,"methods note"
G04,Typed transduction schema present,PASS,"schema/sector_complete_instrument.schema.json"
G05,Example schema record validates,PASS,"verification/schema_validation.txt"
G06,Four required generators implemented,PASS,"reflect; absorb; local_transmit; string_transmit"
G07,Local equivalence explicitly reported,PASS,"{absorb,string_transmit}"
G08,Sector-complete resolution tested,PASS,"all singleton classes"
G09,Fisher null-direction audit implemented,PASS,"rank 2 local; rank 3 complete"
G10,Mutual information labeled diagnostic not certificate,PASS,"methods note"
G11,Broken-duality control included,PASS,"data/broken_duality_control.csv"
G12,Detector-noise control included,PASS,"data/detector_noise_information.csv"
G13,Finite-boundary control included,PASS,"data/finite_boundary_control.csv"
G14,Out-of-set model-mismatch control included,PASS,"deviance 16828.035; p below floating-point range"
G15,Conservation quantities separated,PASS,"probability/excitation distinguished from energy/charge/entropy"
G16,Dark-matter status locked to proposed_only,PASS,"template and tests"
G17,Automated tests pass,PASS,"27 passed"
G18,Frozen output hash recorded,PASS,"ad7b450635e06410fe4a8e5f9227bc38f6a12eb1878fa2e1ada58cde3a65971a"
G19,Source versions not overclaimed,PASS,"source map says not independently re-verified"
G20,No repository/publication changes claimed,PASS,"local package only"
