claim_id,statement,claim_type,scientific_status,evidence_class,disposition,support,limitations,falsifier_or_next_test
SPPT-C001,"For the stated node-edge incidence convention, internal transport conserves whole-network inventory, and a weighted inventory is conserved when the declared reaction weights annihilate the stoichiometric matrix and external source minus escape is zero.",theorem,Admitted,hand_checked,admit,"manuscript/manuscript.md Proposition 1, equations 3-4, and inline proof || src/sppt_core.py || tests/test_sppt_core.py","Fails for undeclared sources, sinks, escape, dimension mismatch, or nonconserving reaction weights.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C002,The declared linear constitutive closure has nonnegative local entropy production when its phenomenological matrix is positive semidefinite on the declared force-flux domain.,thermodynamic admissibility condition,Admitted with qualification,hand_checked,admit_with_qualification,manuscript/manuscript.md equations 7-8 || Onsager I/II and Casimir sources in manuscript/references.bib,It is not a proof that every proposed nonlinear or far-from-equilibrium edge law is admissible.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C003,The steady periodic solution of dM/dt = c0 + c1 cos(omega t) - M/tau and the signed loop integral integral M dc equal the displayed formulas.,analytic calculation,Admitted,independently_reproduced,admit,manuscript/manuscript.md equations 17-19 and Appendix A.1 || src/sppt_core.py || tests/test_sppt_core.py,"The result is for a linear single-timescale trap, not a general nonlinear phase reservoir.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C004,"At fixed positive forcing frequency, the raw inventory-loop magnitude increases monotonically with release time, whereas the release-normalized loop magnitude has its unique maximum at omega*tau = 1.",monotonicity and extremum result,Admitted,independently_reproduced,admit,manuscript/manuscript.md equation 19 and the unnumbered release-normalized loop expression in section 4.2 || data/trap_memory_loops.csv || tests/test_sppt_core.py,Claiming that the raw loop itself peaks at omega*tau=1 is rejected.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C005,"For a nonempty proper cut in a connected positive-weight conductance graph with strictly positive node capacities, the first nonzero generalized relaxation eigenvalue is bounded above by the displayed cut Rayleigh quotient.",spectral theorem,Admitted with qualification,hand_checked,admit_with_qualification,"manuscript/manuscript.md Proposition 2, equation 23, and Appendix A.2 || src/sppt_core.py || tests/test_sppt_core.py",Disconnected positive-weight graphs have additional zero modes and do not satisfy the stated positive-lambda2 interpretation.,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C006,The complete derivative of K(psi)(Td-Tu) with respect to Td is K(1-dTu/dTd) + (Td-Tu) K'(psi) dpsi/dTd; the fixed-upper-state toy closure sets dTu/dTd=0 explicitly.,calculus identity and software contract,Admitted with qualification,mechanically_replayed,admit_with_qualification,manuscript/manuscript.md state-dependent transport section || src/sppt_core.py effective_flux_slope || tests/test_sppt_core.py,"A negative local slope is only a fold precursor, not proof of a global bifurcation.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C007,The displayed ideal classical nucleation barrier is multiplied by the stated substrate-dependent wetting factor for the ideal spherical-cap heterogeneous case.,standard-model formula,Admitted with qualification,hand_checked,admit_with_qualification,manuscript/manuscript.md equations 34-35 || Fitzner et al. DOI 10.1038/s41467-017-02300-x in manuscript/references.bib,"Microscopic line tension, anisotropy, nonclassical pathways, and complex substrates are outside this formula.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C008,"In the declared two-reservoir static model, if K>0, an equilibrium exists, and the radiation law is injective on the physical temperature domain, the boundary temperature depends on total forcing but not on the deep conductance; the deep temperature remains conductance-dependent.",non-identifiability proposition,Admitted with qualification,hand_checked,admit_with_qualification,"manuscript/manuscript.md Proposition 3, equations 37-38, and Appendix A.3 || src/sppt_core.py static_two_reservoir_equilibrium || tests/test_sppt_core.py","K=0, noninjective radiation, absent equilibria, multiple sinks, or different closures can invalidate the result.",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C009,The graph/guard/reset equations provide a proposed syntax for topology-changing phase-reservoir models.,framework proposal,Proposed only,source_asserted,proposed_only,manuscript/manuscript.md topology-change section,No general existence or uniqueness theorem || no simultaneous-guard priority || no reset-map closure theorem || no chattering exclusion or non-Zeno theorem,No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
SPPT-C010,The ideal four-electron CO2-to-carbon throughput and reversible-power scales follow from Faraday's law and the supplied standard-state electrochemical free energy.,order-of-magnitude calculation,Admitted with qualification,independently_reproduced,admit_with_qualification,manuscript/manuscript.md Carbon Phase Relay section || src/sppt_core.py || tests/test_sppt_core.py || Ratso et al. DOI 10.1038/s41467-026-70977-0 for the experimental motivation,"This is not latent heat || not spontaneous planetary sequestration || not a demonstrated planetary mechanism || kinetics, overpotential, transport, and side reactions are omitted",No separate field exists in the frozen v1.0.7 matrix; use its preserved limitations and cited support.
