claim_id,claim_type,claim_statement,established_kernel,standard_equation_or_locator,proposed_component,observable_or_endpoint,null_model,falsifier_or_next_test,source_ids,evidence_status,disposition,limitations
CC-001,atomic_observation,"Prepared coherent Rydberg superpositions can show radial probability motion and collapse/revival.","Wave-packet interference between discrete energy states is observed in the cited experiment.","Psi(r,t)=sum c_n R_nl Y_lm exp(-i E_n t/hbar)","Use pulsing as a probability-density observable rather than an electron surface.","Radial density/current; revival timing; pump-probe ionization.","Stationary eigenstate with no cross-terms.","Replay a disclosed hydrogenic wave-packet calculation and compare held-out revival times.",S001,source_asserted,admit_with_qualification,"Prepared superposition only; not evidence for ether or a universal atomic pulse."
CC-002,atomic_boundary,"A hydrogen 1s eigenstate has stationary probability density.","A single energy eigenstate changes only by a global phase.","psi_1s(r,t)=psi_1s(r) exp(-i E_1 t/hbar)","Reject literal radial electron-shell pulsing for the ground state.","Time-resolved radial density.","Nonzero time dependence would require a superposition or an additional interaction.","Check analytic density and numerical propagation under the declared Hamiltonian.",S002,hand_checked,admit,"Stationarity is derived from the eigenstate equation; S002 is the spectroscopy benchmark, not an independent proof. Measurement language must distinguish radial probability from a material surface."
CC-003,atomic_frequency,"Hydrogen spectral frequencies are transition-energy observables, not a universal mass-frequency law.","Precision 1S-2S spectroscopy provides a transition frequency and uncertainty.","Delta E=E_2-E_1; omega=Delta E/hbar", "Test any added substrate term as a line shift or broadening.","Transition frequency and linewidth.","QED plus reduced-mass and known systematic corrections.","A proposed term must produce a predeclared residual exceeding uncertainty without violating other lines.",S002,source_asserted,admit_with_qualification,"Mass affects isotope shifts but does not determine all electronic frequencies."
CC-004,antimatter_boundary,"Hydrogen and antihydrogen spectroscopy provide a charge-sign/CPT null for an opposite-phase bubble model.","The cited antihydrogen result is consistent with hydrogen within its reported precision.","Compare matched transition frequencies under controlled fields.","Search for charge-sign-dependent substrate coupling.","H-versus-anti-H frequency difference.","CPT/QED equality after apparatus corrections.","Pre-register a matched H/anti-H comparison and nuisance model.",S003,source_asserted,admit_with_qualification,"Null agreement constrains a class of models; it does not prove all CPT alternatives absent."
CC-005,particle_boundary,"The electron magnetic moment is a precision gate for any electron-as-bubble construction.","The anomalous magnetic moment is measured to high precision.","g/2 and QED magnetic-moment prediction.","Add a finite-size or substrate form factor only if it predicts a residual.","Magnetic moment and scattering form factor.","Standard QED prediction.","A residual must survive independent magnetic-moment and compositeness constraints.",S004,source_asserted,deferred,"No finite electron surface is established by the attached proposal."
CC-006,condensed_matter,"A Bosenova is nonlinear BEC collapse after controlled interaction tuning.","Attractive interaction produces collapse, bursts, and remnant dynamics.","Gross-Pitaevskii-type dynamics with interaction quench.","Use as a collapse-release benchmark, not as a supernova identity.","Atom burst, remnant oscillation, collapse time.","Domain-specific BEC model.","Reproduce the reported qualitative regime and test any cross-domain scaling on held-out parameters.",S005,source_asserted,admit_with_qualification,"Bosonic many-body dynamics differ from nuclear or relativistic stellar collapse."
CC-007,astrophysics,"The ultramassive white dwarf is a compact-matter benchmark with model-dependent ONe preference.","Mass, radius, and gravitational-redshift constraints are reported in an accepted preprint.","Hydrostatic equilibrium with degenerate-electron equation of state.","Use as a support-versus-binding benchmark.","Mass-radius relation; cooling; gravitational redshift.","Standard compact-star structure models.","Compare alternative core models with independent spectroscopy and cooling data.",S006,source_asserted,admit_with_qualification,"Accepted preprint; Bayes factor is modest and core inference is model-dependent."
CC-008,quantum_gravity_hypothesis,"A discrete substrate would need a covariant effective correction and measurable signature.","Discreteness and foam are active quantum-gravity hypotheses, not observed bubbles.","E^2=p^2 c^2+m^2 c^4+eta_n p^2 c^2(E/M_star c^2)^n", "Parameterize rather than assume a foam medium.","Dispersion, birefringence, interferometer noise, atomic shifts.","Lorentz-invariant QFT/GR propagation.","Confront the first nonzero predicted coefficient with gamma-ray, clock, interferometer, and GW limits.",S007,proposed_only,proposed_only,"A model with no observable residual is operationally equivalent to standard fields."
CC-009,prior_art,"Discrete information-processing models already derive relativistic field limits in some constructions.","Quantum cellular automata and related discrete approaches are established prior art.","Unitary, local, homogeneous, isotropic update rules and continuum limits.","Use prior art to define the exact delta rather than claim first discovery.","Continuum recovery and residual dispersion.","Existing QCA or causal-set results.","Write a novelty comparison with canonical citations and no priority language until the delta is formal.",S009,source_asserted,admit_with_qualification,"Prior-art coverage is bounded, not an exhaustive literature review."
CC-010,gravity_boundary,"Pressure language must map to stress-energy and metric observables before it can be a gravity claim.","Gravity tests constrain free fall, redshift, lensing, orbital, and wave behavior.","T_munu and metric field equations; domain-specific stress tensors.","Create a stress-flux ledger across domains.","Free-fall composition dependence; clock redshift; lensing; GW speed.","General relativity plus tested matter models.","Derive one unit-consistent constitutive bridge and test it against a held-out gravity observable.",S010,proposed_only,proposed_only,"A scalar pressure gradient alone is insufficient."
