source_id,authors,title,year,venue_or_publisher,doi,url,source_type,publication_status,access_date,verification_status,claims_supported,notes
astraRepo2026,Jacko T.,ASTRA repository: Current public architecture and resource boundaries,2026,GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/tree/f8b32ef0af9cb6804f256490b4daafbdba43740e,project source / repository record,published,2026-08-16,repository bytes/metadata inspected,V107-R001; V108-R001; V108-R002,Frozen main snapshot audited at exact commit f8b32ef0af9cb6804f256490b4daafbdba43740e; v1.0.7 remains the stable release and the M1 source repair remains unpromoted.
astraRelease106,Jacko T.,SPPT/ASTRA v1.0.6 release notes,2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/blob/v1.0.6/RELEASE_NOTES_v1.0.6.md,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,V107-R001,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
astraManuscript106,Jacko T.,"Phase-reservoir topology as a hidden state variable in planetary evolution: SPPT with ASTRA, v1.0.6",2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/blob/v1.0.6/manuscript/manuscript.md,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,retained core baseline,Not peer reviewed; reduced synthetic demonstrations; no empirical planetary validation
astraClaims106,Jacko T.,SPPT/ASTRA v1.0.6 consequential claim-admission matrix,2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/blob/v1.0.6/CLAIM_MATRIX.json,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,retained core claim matrix,"No additional qualification beyond the publication-status, verification-status, and claims-supported fields."
earthInstrument030,Jacko T.,ASTRA framework v0.3.0: Earth is the instrument,2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/tree/earth-instrument-framework-v0.3.0/resources/earth-is-the-instrument/v0.3.0,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,V107-F008,Foundational supplemental working paper; not peer reviewed
sectorCompleteAlpha,Jacko T.,ASTRA sector-complete instrument module v0.1.0-alpha.1,2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/tree/sector-complete-instrument-v0.1.0-alpha.1/resources/sector-complete-instrument/v0.1.0-alpha.1,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,V107-M006; V107-F006,Namespaced alpha methods module
activeSupportDraft,Jacko T.,"Mode-resolved active-support audit, draft v0.1.0",2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/blob/f8b32ef0af9cb6804f256490b4daafbdba43740e/resources/active-support-audit/draft-v0.1.0/METHODS_NOTE.md,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,V107-F005,Repository-visible unpromoted draft
bridgeProtocolDraft,Jacko T.,"SPPT bridge protocol, draft v0.1.0",2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/tree/f8b32ef0af9cb6804f256490b4daafbdba43740e/resources/sppt-bridge-protocol/draft-v0.1.0,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,bridge integration,Repository-visible unpromoted successor prototype
cosmicVisibilityDraft,Jacko T.,"Cosmic visibility and sampling framework, draft v0.1.0",2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/blob/f8b32ef0af9cb6804f256490b4daafbdba43740e/resources/cosmic-visibility-framework/draft-v0.1.0/CORE_FRAMEWORK.md,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,V107-F007; V108-M001; dark-sector compound-source boundary,Repository-visible unpromoted methods draft
coherenceCellDraft,Jacko T.,"Coherence-cell exploration: Methods note, draft v0.1.0",2026,ASTRA project / GitHub repository,not assigned / not recorded,https://github.com/jkolantree/astra/blob/f8b32ef0af9cb6804f256490b4daafbdba43740e/resources/coherence-cell-exploration/draft-v0.1.0/METHODS_NOTE.md,project source / repository record,project draft / preprint,2026-08-09,repository bytes/metadata inspected,AE0F discipline,Repository-visible unpromoted research scaffold
