claim_id,claim_type,claim_statement,assumptions_or_boundary,observable_or_endpoint,null_model,falsifier_or_next_test,source_ids,evidence_status,disposition,limitations
DMA-001,ontology_boundary,"Dark matter, plasma, material preferred frames, and fundamental preferred-frame fields answer different operational questions and may overlap only in a declared model.","Definitions are operational and do not assert a unique ontology.","Stress closure; charge response; density-dependent frame; vacuum preferred-frame mode.","One label is treated as a synonym for all others.","Write one action and show which observables establish each role without importing evidence between them.","S001;S002;S003;S004;S005",source_supported,admit_with_qualification,"A taxonomy is not evidence that any hidden sector exists."
DMA-002,bookkeeping_identity,"The geometric closure residual is conserved when the declared known sector is separately conserved.","General relativity; Bianchi identity; minimally coupled separately conserved known sector.","Density; momentum; pressure; anisotropic stress components of the residual.","Unmodeled known matter or modified gravity can occupy the same bookkeeping slot.","Reconstruct the full covariant residual and audit known-sector incompleteness.","S006;S007;S012",hand_checked,admit_with_qualification,"Conservation does not establish material ontology."
DMA-003,linear_response_derivation,"Charge-conjugation symmetry makes the mixed linear responses between charge-even stress and charge-odd current vanish.","Dynamics, state, background, and regulator preserve charge conjugation; linear response.","Mixed retarded susceptibilities chi_TJ and chi_JT.","Asymmetry, background field, streaming, unequal populations, or nonlinear response.","Introduce one controlled symmetry-breaking parameter and verify the predicted leading mixed response.","S001;S002",derived_assumption_bound,admit_with_qualification,"Independent review and prior-art comparison remain pending."
DMA-004,fluid_mode_derivation,"The declared neutral equal-pair fluid benchmark separates into Jeans-like and Langmuir-like branches.","Equal and opposite charges; neutral homogeneous background; equal specific pressure response; declared closure.","Mode frequencies, residues, damping, and eigenvectors.","Unequal pressure response or symmetry breaking mixes mass and charge modes.","Replay the linearization and recover both limiting branches plus the generic mixing terms.","S001;S002",derived_assumption_bound,admit_with_qualification,"Not a kinetic or cosmological solution and not an empirical dark-sector result."
DMA-005,scale_relation,"For the self-gravitating equal-pair benchmark, the plasma-to-Jeans frequency ratio is alpha_D divided by G m squared and is density independent.","Same density appears in both declared characteristic frequencies; natural-unit conventions stated in the note.","Omega_p squared divided by omega_J squared.","Additional species, unequal masses, screening, or changed closure alters the relation.","Check dimensions and reproduce under explicit unit conventions and a generic two-species extension.","S001;S002",derived_assumption_bound,admit_with_qualification,"A scale ratio does not show that the sector is realized in nature."
DMA-006,symmetry_obstruction,"One minimal gauged U(1) realization does not automatically provide both a long-range plasma and an ungapped condensate phonon.","The condensed field carries the same unbroken gauge charge that supplies the long-range interaction.","Gauge-boson mass; screening length; Goldstone spectrum.","Additional symmetry, neutral condensate, multiple components, or phase separation.","Specify the full symmetry-breaking pattern and compute the physical spectrum.","S003",standard_framework,admit_with_qualification,"Model-specific alternatives exist."
DMA-007,direct_detection_boundary,"One LZ recoil candidate does not establish a population-level dark-matter law or a collective incoming mode.","Event interpretation, detector response, background, and look-elsewhere structure remain model-assisted.","Recoil energy, target dependence, time, direction, and additional exposure.","Background or statistical fluctuation.","Supply a prospective interaction operator and spectral weight S_D(q,omega) that transfers across targets and exposures.",S010,source_asserted,admit_with_qualification,"The event status can change with later collaboration analyses."
DMA-008,temporal_memory,"A prescribed FLRW control can return to its initial scale while a minimally coupled scalar state retains nonzero Bogoliubov occupation.","Free massless minimally coupled scalar; prescribed asymptotically static pulse; stated limits.","Mode occupation N_lambda equals absolute beta_lambda squared.","Massless conformally coupled scalar or a genuine adiabatic limit suppresses production.","Reproduce the connection coefficients and scan coupling, pulse shape, dwell time, and switching rate.",S013,peer_reviewed_model_result,admit_with_qualification,"No backreaction, metric source, observation, abundance, or dark-matter inference is supplied."
DMA-009,threshold_caveat,"The gravity-pulse paper's threshold is a finite-occupation threshold rather than a no-production cutoff.","The reported limit has absolute beta over alpha squared tending to one below threshold.","N equals r divided by one minus r.","A finite regulator or backreaction can change the singular limit.","Recompute finite-duration spectra and close the energy budget before interpreting the infrared regime.",S013,hand_checked,admit_with_qualification,"Applies to the paper's specific model and asymptotic limit."
DMA-010,parameter_identifiability,"The reported conventional and microwave SnO2 Arrhenius pairs partially cancel at the illustrative 410 K pivot.","Uses the paper's apparent best-fit E_a and A values and R in consistent units.","Delta ln k at a pivot temperature; joint A-E_a covariance.","Broad held-out temperature data independently identify both parameters.","Report covariance and held-out rates across a wider temperature range.",S014,derived_from_reported_values,admit_with_qualification,"Rounded source values support a pivot comparison, not a covariance or identifiability claim."
DMA-011,thermal_confounder,"The microwave crystallization result does not uniquely establish a nonthermal field-specific mechanism.","Probe temperature may not equal the full local space-time thermal field.","Matched thermal history; hazard; PDF pathway; final structure.","Conventional heating with a matched local thermal field reproduces all endpoints.","Measure local temperature and sweep frequency, duty cycle, peak field, and absorbed energy prospectively.",S014,source_supported,admit_with_qualification,"The source reports comparative rather than absolute Arrhenius parameters."
