claim_id,claim_type,scope,evidence_status,evidence_class,disposition,claim,primary_support,falsifier_or_demotion_condition
SCI-C001,mathematical,finite-dimensional linear algebra,Established,hand_checked,admit,"For ordinary finite-dimensional operators, Tr([A,B])=0; a trace-of-commutator equation cannot serve as a generic measurement expectation.","src/astra_sector_complete.py; tests/test_sector_complete.py","A nonstandard trace/domain must be explicitly specified; otherwise the claim stands."
SCI-C002,mathematical,quantum measurement formalism,Established,hand_checked,admit,"An unconditioned measurement probability can be written p(d|rho,Gamma,u)=Tr[M_d E_{Gamma,u}(rho)] for a CPTP map and POVM.","source module; standard formalism encoded in src/astra_sector_complete.py","Demote if the modeled process is not an unconditioned quantum channel/POVM experiment."
SCI-C003,mathematical,postselected quantum measurement,Established,hand_checked,admit,"A selected branch requires a completely positive trace-nonincreasing quantum instrument, with branch probability Tr[E_d(rho)].","source module","Demote if no postselection or branch conditioning occurs."
SCI-C004,methodological,ASTRA instrument audits,Strong inference,source_asserted,admit_with_qualification,"Carrier, sector, interface state, control route, observable basis, calibration, exchange ledger, unresolved-sector bounds, inversion, and rejection test should be typed separately.","supplied methods audit; schema/sector_complete_instrument.schema.json","A simpler schema must show equal or better error detection and auditability on held-out cases."
SCI-C005,methodological,sector completeness,Strong inference,source_asserted,admit_with_qualification,"Sector-complete means enumerating plausible sectors, measuring or bounding each, and reporting the remaining generator equivalence classes; it does not mean measuring every imaginable sector.","supplied methods audit; source module","Demote if the definition permits claims finer than the declared observational quotient."
SCI-C006,synthetic,ideal local observation,Established,mechanically_replayed,admit,"In the frozen four-generator benchmark, the local POVM leaves absorb and string_transmit exactly equivalent.","data/sector_complete_benchmark.json; figure_01; tests","Any reproduced response matrix that separates those columns under the same frozen model."
SCI-C007,synthetic,ideal sector-complete observation,Established,mechanically_replayed,admit,"In the frozen four-generator benchmark, the declared sector-complete POVM separates all four generators.","data/sector_complete_benchmark.json; figure_02; tests","Any reproduced response matrix with a non-singleton equivalence class under the same frozen model."
SCI-C008,synthetic,identifiability,Established,mechanically_replayed,admit,"With 2% symmetric detector confusion, the local mixture Fisher matrix has rank 2 and the sector-complete matrix has rank 3 on the three-dimensional simplex parameterization.","data/sector_complete_benchmark.json; figure_03; tests","Reproduction with the frozen matrix yielding different ranks."
SCI-C009,synthetic,information diagnostic,Established,mechanically_replayed,admit_with_qualification,"Under a uniform generator prior, ideal local and sector-complete mutual information are 1.5 and 2.0 bits; with 2% detector confusion they are 1.343487 and 1.853974 bits.","data/sector_complete_benchmark.json; figure_04","The values are prior- and model-dependent diagnostics, not certificates or universal information measures."
SCI-C010,synthetic,classification,Established,mechanically_replayed,admit_with_qualification,"At 600 samples per generator and 400 replicates, frozen local classification accuracy is 0.7525 while sector-complete accuracy is 1.0.","data/sector_complete_benchmark.json; figures 07-08","Reproduction with the frozen seed and code yielding different values; this is not external validation."
